,gene,logfc,pvalue,stat
ENSG00000237683,ENSG00000237683,-0.555695378801684,0.0979313099117868,-1.6549664189332
ENSG00000188976,ENSG00000188976,0.0183025801198874,0.81004214388841,0.240371663083164
ENSG00000187961,ENSG00000187961,-0.18701326028803,0.533165040793788,-0.6231818296478
ENSG00000187608,ENSG00000187608,0.0669537900795216,0.522518705421004,0.639467721816245
ENSG00000188157,ENSG00000188157,-0.103144030557379,0.28266925677374,-1.07434238081716
ENSG00000131591,ENSG00000131591,0.0103263778109065,0.96644366999685,0.0420690284790843
ENSG00000078808,ENSG00000078808,0.179509127215958,0.167466304118329,1.38039095329691
ENSG00000176022,ENSG00000176022,0.0628892278243967,0.688081348253449,0.401460182090883
ENSG00000160087,ENSG00000160087,0.0586637590259369,0.610408550182609,0.50949036500594
ENSG00000131584,ENSG00000131584,0.339387996581406,0.118493694088545,1.56112740099383
ENSG00000169972,ENSG00000169972,0.0503928582571109,0.677299160225844,0.416151481811043
ENSG00000127054,ENSG00000127054,-0.0475291745251807,0.54481333880922,-0.605550412813457
ENSG00000224051,ENSG00000224051,0.206149691629686,0.34192607916963,0.950366461764949
ENSG00000107404,ENSG00000107404,0.0715749881187708,0.622828375527739,0.491845772820238
ENSG00000162576,ENSG00000162576,-0.184454871658849,0.334301541682053,-0.965485806616478
ENSG00000175756,ENSG00000175756,0.0464956652585541,0.394786320482987,0.850969455329507
ENSG00000221978,ENSG00000221978,0.040111556037341,0.623217651366214,0.491295232426231
ENSG00000224870,ENSG00000224870,-0.00397752103896563,0.971659842227591,-0.0355265922234289
ENSG00000242485,ENSG00000242485,0.0393526737862482,0.226949987870327,1.20825292999918
ENSG00000235098,ENSG00000235098,-0.302452825940678,0.344103058061215,-0.946089266184399
ENSG00000179403,ENSG00000179403,0.176323161263271,0.196088754382828,1.29277539008324
ENSG00000215915,ENSG00000215915,-0.0449394417701935,0.848666409224316,-0.190820267570017
ENSG00000160072,ENSG00000160072,0.190734382370573,0.234108952980579,1.1898408435487
ENSG00000197785,ENSG00000197785,-0.0596978682797402,0.633460828759944,-0.476861387829189
ENSG00000160075,ENSG00000160075,0.0659861236971964,0.167078972593911,1.38165071964736
ENSG00000228594,ENSG00000228594,0.24212126676866,0.14162930427884,1.4697506318022
ENSG00000197530,ENSG00000197530,-0.185096149536769,0.469403326254261,-0.723450221198248
ENSG00000248333,ENSG00000248333,0.0381563304187396,0.653893597238564,0.448359733509168
ENSG00000189339,ENSG00000189339,-0.319899288558469,0.0366105222039203,-2.09008102140133
ENSG00000008128,ENSG00000008128,0.0617600732991642,0.492632655673471,0.686127587567921
ENSG00000008130,ENSG00000008130,0.257740174892356,0.148898041405815,1.4434347484307
ENSG00000078369,ENSG00000078369,0.0395663158677345,0.358208499118587,0.91878412198056
ENSG00000178821,ENSG00000178821,0.138077634452651,0.501325953318155,0.672404917118461
ENSG00000067606,ENSG00000067606,-0.275593228104911,0.153407750972441,-1.42759747444777
ENSG00000162585,ENSG00000162585,-0.0933456377218182,0.312726834660634,-1.00951682931792
ENSG00000203301,ENSG00000203301,0.302694506500207,0.552269486617419,0.594362795660491
ENSG00000157933,ENSG00000157933,-0.0416918744962184,0.751075799222646,-0.317221154548572
ENSG00000116151,ENSG00000116151,0.323798865910103,0.117839567369159,1.56390633160596
ENSG00000157916,ENSG00000157916,0.0660038749261818,0.356745751876965,0.92158372315212
ENSG00000157911,ENSG00000157911,0.244158773675304,0.206753203543077,1.26254372329352
ENSG00000157881,ENSG00000157881,0.277570828900615,0.254742045958326,1.13890675959279
ENSG00000157870,ENSG00000157870,-0.0449713580783947,0.763059785377918,-0.301465196568635
ENSG00000130762,ENSG00000130762,0.12537842447651,0.374178189098897,0.888674221605554
ENSG00000162591,ENSG00000162591,0.0390142336282549,0.850562854519949,0.188400312785829
ENSG00000158109,ENSG00000158109,-0.0905025874367801,0.432133261459847,-0.785546425895575
ENSG00000116213,ENSG00000116213,0.184023532578209,0.242624467082052,1.16845205734108
ENSG00000130764,ENSG00000130764,0.14951165574293,0.071481293823912,1.80240764150144
ENSG00000116198,ENSG00000116198,-0.0976394592720041,0.534686805902062,-0.620867500760315
ENSG00000169598,ENSG00000169598,0.117474574556395,0.586823435646081,0.543445020229762
ENSG00000198912,ENSG00000198912,0.0246808010062722,0.769732988658629,0.292724176651064
ENSG00000196581,ENSG00000196581,-0.0942008214595086,0.680073307325082,-0.412363097036976
ENSG00000131697,ENSG00000131697,0.100264501532645,0.701213008286436,0.383683547425027
ENSG00000069424,ENSG00000069424,-0.411767441468518,0.115323882412038,-1.5747079046149
ENSG00000116251,ENSG00000116251,-0.0145727861216044,0.581200561751756,-0.551631920908898
ENSG00000158286,ENSG00000158286,-1.16736425656159,0.0267763821635676,-2.21476232897496
ENSG00000116237,ENSG00000116237,-0.0420575512593611,0.514566774734896,-0.651743315157743
ENSG00000158292,ENSG00000158292,0.00262427073699983,0.954132917706503,0.0575175608793402
ENSG00000097021,ENSG00000097021,0.030093257064777,0.606497961604909,0.515078792559619
ENSG00000187017,ENSG00000187017,-0.0625120797407593,0.656597410686225,-0.444615823011205
ENSG00000215788,ENSG00000215788,-0.0356890511744024,0.891840922929488,-0.135975153770708
ENSG00000171680,ENSG00000171680,-0.475030324154004,0.280848143838054,-1.07841601348331
ENSG00000162408,ENSG00000162408,-0.175657530432059,0.0339497861410218,-2.12066758568843
ENSG00000204859,ENSG00000204859,0.265018607357365,0.179020114747728,1.34377821923592
ENSG00000162413,ENSG00000162413,0.0873928430963494,0.503811757751379,0.668504269072033
ENSG00000116273,ENSG00000116273,0.072644900658961,0.451093567487444,0.753593135506673
ENSG00000041988,ENSG00000041988,-0.000162652174211435,0.977950276588953,-0.0276387485470644
ENSG00000007923,ENSG00000007923,0.0637814248434713,0.370328132925199,0.895858889763513
ENSG00000171735,ENSG00000171735,-0.0364050236928596,0.369095190396818,-0.898169501340658
ENSG00000049245,ENSG00000049245,0.109659942694676,0.264197821292073,1.11652419076907
ENSG00000049246,ENSG00000049246,1.17308094820553e-05,0.997000333484327,0.00375953330757046
ENSG00000116288,ENSG00000116288,0.00610593560063266,0.819700754714839,0.227929878009435
ENSG00000116285,ENSG00000116285,-0.170578388804935,0.19274504709012,-1.30250137834066
ENSG00000162426,ENSG00000162426,-0.118932944873062,0.670366434607661,-0.425645151064757
ENSG00000142599,ENSG00000142599,-0.0433349112906002,0.589541167169552,-0.539501057959285
ENSG00000074800,ENSG00000074800,0.0188468686478689,0.346007415139842,0.942361844247101
ENSG00000180758,ENSG00000180758,-0.0595886398020554,0.24255022292067,-1.16863623451621
ENSG00000049239,ENSG00000049239,0.0495048242693916,0.808253111382804,0.242680246112702
ENSG00000171621,ENSG00000171621,-1.07930850102879,0.0993660221162376,-1.64793494220826
ENSG00000171612,ENSG00000171612,0.118771062898756,0.278117474950946,1.08455797858518
ENSG00000188807,ENSG00000188807,0.0927034591066894,0.487533319288014,0.694237435750051
ENSG00000171608,ENSG00000171608,-0.103111347145041,0.635705693062373,-0.473711441747607
ENSG00000171603,ENSG00000171603,-0.153200960994336,0.0439780631803504,-2.01429983605126
ENSG00000178585,ENSG00000178585,-0.00448918720774957,0.967022637601782,-0.0413427688319617
ENSG00000162441,ENSG00000162441,-0.194810498236096,0.0539371694317963,-1.92734082138842
ENSG00000173614,ENSG00000173614,0.0176316097242844,0.916005111933239,0.105467179176423
ENSG00000162444,ENSG00000162444,0.068405545562594,0.762785240187737,0.301825303911167
ENSG00000130939,ENSG00000130939,0.0105525996473937,0.872297475376214,0.160740899172131
ENSG00000054523,ENSG00000054523,0.109849086008774,0.10348872791958,1.62817054791372
ENSG00000142657,ENSG00000142657,-0.0301754829709558,0.496505031100295,-0.679999099485546
ENSG00000175279,ENSG00000175279,0.142347788606455,0.409068627153046,0.825533754790109
ENSG00000160049,ENSG00000160049,0.0240844364378002,0.649773768645052,0.454076497388664
ENSG00000142655,ENSG00000142655,0.121430612933365,0.415537013761686,0.81418842794011
ENSG00000130940,ENSG00000130940,-0.101883979621287,0.596286158778092,-0.529748727126389
ENSG00000120948,ENSG00000120948,0.0330757230308339,0.419311511140085,0.807616281302919
ENSG00000009724,ENSG00000009724,-1.10996324900463,0.150711296535236,-1.43702356951564
ENSG00000116649,ENSG00000116649,0.0262813704133919,0.701671089913248,0.383065647321332
ENSG00000171824,ENSG00000171824,-0.10348924333434,0.198689614783296,-1.28529386053757
ENSG00000198793,ENSG00000198793,0.0272805155443218,0.723367374768794,0.353961982385977
ENSG00000120942,ENSG00000120942,0.197785020642315,0.0793324995503003,1.75457226159516
ENSG00000204624,ENSG00000204624,0.412632713285152,0.317922126834739,0.998736969172406
ENSG00000116661,ENSG00000116661,0.0665726757111214,0.707660375465583,0.375000122613584
ENSG00000132879,ENSG00000132879,-0.133299936848246,0.571469178108891,-0.56588909063841
ENSG00000116670,ENSG00000116670,0.0304698448313343,0.587631958239802,0.542270814320507
ENSG00000162490,ENSG00000162490,-0.0385663577226645,0.724591553441023,-0.352328984591103
ENSG00000177674,ENSG00000177674,-0.0926904504917804,0.158112602300396,-1.41144785007998
ENSG00000215910,ENSG00000215910,0.774969147695223,0.522628410750518,0.639299043262141
ENSG00000177000,ENSG00000177000,0.173464222560529,0.215179467244476,1.23944845266504
